roomNumber,guestName,numberOfAdults,numberOfChildren,startDate,endDate,totalRoomCost
308,Mack Simmer,1,0,2023-02-02,2023-02-04,299.98
203,Bettyann Seery,2,1,2023-02-05,2023-02-10,999.95
305,Duane Cullison,2,0,2023-02-22,2023-02-24,349.98
201,Karie Yang,2,2,2023-03-06,2023-03-07,199.99
307,Your Name,1,1,2023-03-17,2023-03-20,524.97
302,Aurore Lipton,3,0,2023-03-18,2023-03-23,924.95
202,Zachery Luechtefeld,2,2,2023-03-29,2023-03-31,349.98
304,Jeremiah Pendergrass,2,0,2023-03-31,2023-04-05,874.95
301,Walter Holaway,1,0,2023-04-09,2023-04-13,799.96
207,Wilfred Vise,1,1,2023-04-23,2023-04-24,174.99
401,Maritza Tilton,2,4,2023-05-30,2023-06-02,"1,199.97"
206,Joleen Tison,2,0,2023-06-10,2023-06-14,599.96
208,Joleen Tison,1,0,2023-06-10,2023-06-14,599.96
304,Aurore Lipton,3,0,2023-06-17,2023-06-18,184.99
205,Your Name,2,0,2023-06-28,2023-07-02,699.96
204,Walter Holaway,3,1,2023-07-13,2023-07-14,184.99
401,Wilfred Vise,4,2,2023-07-18,2023-07-21,"1,259.97"
303,Bettyann Seery,2,1,2023-07-28,2023-07-29,199.99
305,Bettyann Seery,1,0,2023-08-30,2023-09-01,349.98
208,Mack Simmer,2,0,2023-09-16,2023-09-17,149.99
203,Karie Yang,2,2,2023-09-13,2023-09-15,399.98
401,Duane Cullison,2,2,2023-11-22,2023-11-25,"1,199.97"
206,Mack Simmer,2,0,2023-11-22,2023-11-25,449.97
301,Mack Simmer,2,2,2023-11-22,2023-11-25,599.97
302,Maritza Tilton,2,0,2023-12-24,2023-12-28,699.96
